,HBA,HBD,HBA:HBD,T(K),Tc(K),Pc(bar),Fator Acentrico,Density(kg/m3),Calculado Model 1,Calculado Model 2,Calculado Model 3
1174,Tetraethylammonium chloride,Levulinic acid,1;1,293.15,664.78,28.36,0.6212,1097.3999999999999,1069.2623,1071.1082,1077.8722
655,Choline chloride,Levulinic acid,1;5,313.15,723.53,38.138,0.7224,1127.0,1161.9603,1164.2312,1177.8224
1156,Tetrabutylammonium chloride,Triethylene glycol,2;1,323.15,763.73,16.172,0.9405,989.0,1001.6841,997.3421,1002.9268
763,Choline chloride,Urea,1;2,328.15,644.44,49.536,0.6509,1182.1999999999998,1142.4279,1133.4618,1173.2931
1007,"N,N diethylenethanol ammonium chloride",Glycerol,1;3,343.15,695.61,33.703,1.2865,1177.7,1185.5962,1176.2743,1187.3827
284,benzyldimethyl(2-hydroxyethyl) ammonium chloride,D-Fructose,1;1,343.15,906.55,22.857,1.5331,1210.0,1245.722,1249.8429,1259.0565
532,Choline chloride,Glutaric acid,1;1,348.15,713.43,32.237,0.8782,1158.0,1125.526,1154.508,1131.6068
693,Choline chloride,O-Cresol,1;3,298.2,675.19,42.199,0.545,1070.7,1127.2258,1132.603,1120.5646
163,Allyl triphenylphosphonium bromide,Triethylene glycol,1;4,343.15,817.24,25.162,1.0247,1153.8999999999999,1171.3574,1190.8523,1208.1127
528,Choline chloride,Glutaric acid,1;1,328.15,713.43,32.237,0.8782,1170.0,1113.9576,1149.8765,1131.0082
968,"N,N diethylenethanol ammonium chloride",Ethylene glycol,1;4,348.15,604.66,44.874,0.9488,1071.8000000000002,1071.4812,1070.2834,1068.6444
1139,Tetrabutylammonium chloride,Propionic acid,1;2,308.15,650.01,28.199,0.6578,959.4,1006.1504,1014.33057,998.70825
734,Choline chloride,Phenol,1;5,293.2,660.49,51.686,0.4848,1089.8000000000002,1118.7734,1114.5837,1092.0092
21,Acetyl choline chloride,D-Glucose,1;1,298.15,839.54,25.931,1.3571,1263.0,1273.975,1268.0056,1286.0718
797,L-proline,Lactic acid,1;1,318.15,721.95,48.538,0.8243,1247.6000000000001,1199.1324,1208.5925,1209.6229
381,Choline chloride,D-Fructose,2;1,298.15,742.22,27.034,1.2278,1277.9,1168.0219,1231.6381,1187.9498
279,benzyldimethyl(2-hydroxyethyl) ammonium chloride,D-Fructose,1;1,318.15,906.55,22.857,1.5331,1227.0,1257.9806,1255.3782,1270.1107
588,Choline chloride,Glycerol,1;3,328.15,688.99,34.58,1.2835,1186.8000000000002,1194.6548,1201.2162,1171.7748
854,Methyl triphenylphosphonium bromide,Ethylene glycol,1;5.25,313.15,666.5,42.132,0.9354,1208.6,1192.9386,1211.2445,1186.3274
500,Choline chloride,Ethylene glycol,1;2.03,343.15,601.93,41.105,0.9162,1091.6,1080.6592,1086.4896,1084.2528
838,Methyl triphenylphosphonium bromide,Ethylene glycol,1;4,308.15,684.73,39.865,0.921,1225.6,1221.7377,1218.7432,1207.5583
519,Choline chloride,Ethylene glycol,1;2.57,363.15,600.98,42.868,0.9278,1078.8,1070.7544,1076.0392,1080.4098
130,Allyl triphenylphosphonium bromide,Diethylene glycol,1;4,343.15,756.24,30.004,0.97,1164.1999999999998,1196.3207,1208.6113,1190.1069
553,Choline chloride,Glycerol,1;2,313.15,680.67,33.459,1.2254,1182.7,1177.5226,1178.8467,1157.1307
1079,Tetrabutylammonium chloride,Ethylene glycol,1;4,303.15,590.61,41.852,0.8997,1138.0,1076.5835,1102.729,1107.3207
905,Methyl triphenylphosphonium bromide,Glycerol,1;4,308.15,783.62,31.558,1.2929,1281.7,1275.3293,1275.2201,1321.7477
917,Methyl triphenylphosphonium bromide,Glycerol,1;4,368.15,783.62,31.558,1.2929,1238.6,1227.6891,1256.7833,1278.747
73,Acetyl choline chloride,Guaiacol,1;3,303.15,714.77,40.291,0.5138,1146.1,1117.9998,1132.6276,1142.5835
494,Choline chloride,Ethylene glycol,1;2.03,313.15,601.93,41.105,0.9162,1108.8,1084.0603,1101.0947,1098.4047
1100,Tetrabutylammonium chloride,Glutamic acid,10;1,333.15,787.43,14.391,0.8837,942.9,953.42413,969.173,970.2215
1135,Tetrabutylammonium chloride,Propionic acid,1;2,288.15,650.01,28.199,0.6578,972.4000000000001,1003.2679,1020.76355,999.70404
1063,Tetrabutylammonium chloride,Aspartic acid,11;1,353.15,784.73,14.38,0.8799,928.0,935.4867,955.01917,960.7096
571,Choline chloride,Glycerol,1;2.03,318.15,681.0,33.502,1.2277,1181.4,1174.9926,1179.1963,1155.9045
1173,Tetrabutylammonium chloride,Triethylene glycol,4;1,353.15,770.09,14.964,0.9074,955.0,955.277,965.9626,979.4307
918,"N,N diethylenethanol ammonium chloride",Ethylene glycol,1;2,298.15,610.52,39.503,0.9195,1099.9,1086.4979,1100.6288,1100.727
912,Methyl triphenylphosphonium bromide,Glycerol,1;4,343.15,783.62,31.558,1.2929,1256.8,1239.4203,1265.3496,1293.9742
715,Choline chloride,P-Cresol,1;2,333.15,668.78,35.458,0.8887,1039.8,1130.9426,1094.5787,1125.8741
75,Acetyl choline chloride,Guaiacol,1;3,323.15,714.77,40.291,0.5138,1133.8,1112.8252,1123.4393,1142.5817
497,Choline chloride,Ethylene glycol,1;2.03,328.15,601.93,41.105,0.9162,1100.1000000000001,1083.3195,1091.3906,1086.6844
61,Acetyl choline chloride,D-Xylose,1;1,303.15,782.87,27.631,1.2284,1251.0,1263.2573,1263.0435,1265.2882
56,Acetyl choline chloride,D-Ribose,1;1,343.15,790.74,25.834,1.2391,1226.0,1212.2948,1202.2513,1197.0093
1152,Tetrabutylammonium chloride,Triethylene glycol,1;1,353.15,756.55,18.008,0.9818,991.0,1006.3823,991.72876,1013.67755
295,benzyldimethyl(2-hydroxyethyl) ammonium chloride,D-Glucose,1;1,333.15,901.37,23.127,1.5158,1232.0,1250.8815,1253.2305,1264.5841
889,Methyl triphenylphosphonium bromide,Glycerol,1;3,303.15,801.64,30.416,1.2518,1294.5,1301.3778,1311.3147,1300.6984
227,Benzyl tripropyl ammonium Chloride,Oxalic acid,1;1,333.15,774.01,27.293,0.8586,1234.0,1154.4631,1188.6826,1191.6951
883,Methyl triphenylphosphonium bromide,Glycerol,1;2.03,348.15,831.16,28.884,1.1859,1271.5,1259.7213,1273.2086,1269.6833
597,Choline chloride,Glycolic acid,1;1,293.15,641.53,38.243,0.8667,1198.0,1120.9868,1115.6736,1148.7455
145,Allyl triphenylphosphonium bromide,Diethylene glycol,1;16,308.15,696.23,34.033,1.0176,1135.5,1150.1239,1146.302,1133.2461
71,Acetyl choline chloride,D-Xylose,1;1,353.15,782.87,27.631,1.2284,1220.0,1263.0057,1242.6512,1239.9357
127,Allyl triphenylphosphonium bromide,Diethylene glycol,1;4,328.15,756.24,30.004,0.97,1175.4,1199.3805,1202.2567,1191.5054
481,Choline chloride,Ethylene glycol,1;2,333.15,602.0,40.993,0.9155,1097.0,1082.192,1089.0131,1085.3623
1202,Tetrahexylammonium bromide,Ethylene glycol,1;2,323.15,710.19,22.824,1.0056,988.6,1046.1746,1041.5591,1002.50684
